i,real,imag
5,-0.5000,0.0000
5,-0.1584,0.0000
5,-0.5000,-0.07293
5,-0.5000,0.07293
5,-0.8626,0.0000
5,-0.6840,0.0000
5,-0.5000,0.0000
5,-0.3160,0.0000
5,-0.1374,0.0000
5,-0.8530,0.0000
5,-0.5000,0.0000
5,-0.1470,0.0000
5,-0.5000,-0.06933
5,-0.5000,0.06933
5,-0.8066,0.0000
5,-0.5000,0.0000
5,-0.1934,0.0000
5,-0.5000,-0.3360
5,-0.5000,0.3360
5,-0.8148,0.0000
5,-0.5000,0.0000
5,-0.1852,0.0000
5,-0.5000,-0.1576
5,-0.5000,0.1576
5,-0.7932,0.0000
5,-0.5000,0.0000
5,-0.2068,0.0000
5,-0.5000,-0.1082
5,-0.5000,0.1082
5,-0.8273,0.0000
5,-0.6449,0.0000
5,-0.5000,0.0000
5,-0.3551,0.0000
5,-0.1727,0.0000
5,-0.8446,0.0000
5,-0.6036,0.0000
5,-0.5000,0.0000
5,-0.3964,0.0000
5,-0.1554,0.0000
5,-0.7916,0.0000
5,-0.5000,0.0000
5,-0.2084,0.0000
5,-0.5000,-0.2876
5,-0.5000,0.2876
5,-0.8309,0.0000
5,-0.5000,0.0000
5,-0.1691,0.0000
5,-0.5000,-0.1048
5,-0.5000,0.1048
5,-0.7822,0.0000
5,-0.5000,0.0000
5,-0.2178,0.0000
5,-0.5000,-0.3280
5,-0.5000,0.3280
5,-0.8067,0.0000
5,-0.5000,0.0000
5,-0.1933,0.0000
5,-0.5000,-0.1137
5,-0.5000,0.1137
5,-0.7699,0.0000
5,-0.5000,0.0000
5,-0.2301,0.0000
5,-0.5000,-0.1229
5,-0.5000,0.1229
5,-0.7823,0.0000
5,-0.5000,0.0000
5,-0.2177,0.0000
5,-0.5000,-0.2212
5,-0.5000,0.2212
5,-0.8120,0.0000
5,-0.6131,0.0000
5,-0.5000,0.0000
5,-0.3869,0.0000
5,-0.1880,0.0000
5,-0.8389,0.0000
5,-0.5000,0.0000
5,-0.1611,0.0000
5,-0.5000,-0.09251
5,-0.5000,0.09251
5,-0.7911,0.0000
5,-0.5000,0.0000
5,-0.2089,0.0000
5,-0.5000,-0.3309
5,-0.5000,0.3309
5,-0.8015,0.0000
5,-0.5000,0.0000
5,-0.1985,0.0000
5,-0.5000,-0.1635
5,-0.5000,0.1635
5,-0.8031,0.0000
5,-0.5000,0.0000
5,-0.1969,0.0000
5,-0.5000,-0.1482
5,-0.5000,0.1482
5,-0.7484,0.0000
5,-0.5000,0.0000
5,-0.2516,0.0000
5,-0.5000,-0.3165
5,-0.5000,0.3165
5,-0.6947,0.0000
5,-0.5000,0.0000
5,-0.3053,0.0000
5,-0.5000,-0.2980
5,-0.5000,0.2980
5,-0.5000,0.0000
5,-0.5000,-0.000003511
5,-0.5000,0.000003511
5,-0.5000,-0.2565
5,-0.5000,0.2565
5,-0.7698,0.0000
5,-0.5000,0.0000
5,-0.2302,0.0000
5,-0.5000,-0.2087
5,-0.5000,0.2087
5,-0.7096,0.0000
5,-0.6244,0.0000
5,-0.5000,0.0000
5,-0.3756,0.0000
5,-0.2904,0.0000
5,-0.7689,0.0000
5,-0.5000,0.0000
5,-0.2311,0.0000
5,-0.5000,-0.1804
5,-0.5000,0.1804
5,-0.7494,0.0000
5,-0.5000,0.0000
5,-0.2506,0.0000
5,-0.5000,-0.1170
5,-0.5000,0.1170
5,-0.7236,0.0000
5,-0.5000,0.0000
5,-0.2764,0.0000
5,-0.5000,-0.1508
5,-0.5000,0.1508
5,-0.7015,0.0000
5,-0.5000,0.0000
5,-0.2985,0.0000
5,-0.5000,-0.2321
5,-0.5000,0.2321
5,-0.8224,0.0000
5,-0.5486,0.0000
5,-0.5000,0.0000
5,-0.4514,0.0000
5,-0.1776,0.0000
5,-0.7779,0.0000
5,-0.5825,0.0000
5,-0.5000,0.0000
5,-0.4175,0.0000
5,-0.2221,0.0000
5,-0.8033,0.0000
5,-0.6597,0.0000
5,-0.5000,0.0000
5,-0.3403,0.0000
5,-0.1967,0.0000
5,-0.8771,0.0000
5,-0.6372,0.0000
5,-0.5000,0.0000
5,-0.3628,0.0000
5,-0.1229,0.0000
5,-0.7914,0.0000
5,-0.5872,0.0000
5,-0.5000,0.0000
5,-0.4128,0.0000
5,-0.2086,0.0000
5,-0.7726,0.0000
5,-0.5000,0.0000
5,-0.2274,0.0000
5,-0.5000,-0.1687
5,-0.5000,0.1687
5,-0.8172,0.0000
5,-0.6262,0.0000
5,-0.5000,0.0000
5,-0.3738,0.0000
5,-0.1828,0.0000
5,-0.7246,0.0000
5,-0.5000,0.0000
5,-0.2754,0.0000
5,-0.5000,-0.1842
5,-0.5000,0.1842
5,-0.7420,0.0000
5,-0.5000,0.0000
5,-0.2580,0.0000
5,-0.5000,-0.1441
5,-0.5000,0.1441
5,-0.7138,0.0000
5,-0.6297,0.0000
5,-0.5000,0.0000
5,-0.3703,0.0000
5,-0.2862,0.0000
5,-0.6769,0.0000
5,-0.5000,0.0000
5,-0.3231,0.0000
5,-0.5000,-0.2213
5,-0.5000,0.2213
5,-0.5000,0.0000
5,-0.7116,-0.04075
5,-0.7116,0.04075
5,-0.2884,-0.04075
5,-0.2884,0.04075
5,-0.7624,0.0000
5,-0.6886,0.0000
5,-0.5000,0.0000
5,-0.3114,0.0000
5,-0.2376,0.0000
5,-0.7889,0.0000
5,-0.6581,0.0000
5,-0.5000,0.0000
5,-0.3419,0.0000
5,-0.2111,0.0000
5,-0.7964,0.0000
5,-0.5000,0.0000
5,-0.2036,0.0000
5,-0.5000,-0.000004639
5,-0.5000,0.000004639
5,-0.7695,0.0000
5,-0.5000,0.0000
5,-0.2305,0.0000
5,-0.5000,-0.2246
5,-0.5000,0.2246
5,-0.8333,0.0000
5,-0.6667,0.0000
5,-0.5000,0.0000
5,-0.3333,0.0000
5,-0.1667,0.0000
5,-0.8286,0.0000
5,-0.5000,0.0000
5,-0.1714,0.0000
5,-0.5000,-0.1008
5,-0.5000,0.1008
5,-0.7949,0.0000
5,-0.5000,0.0000
5,-0.2051,0.0000
5,-0.5000,-0.3143
5,-0.5000,0.3143
5,-0.8029,0.0000
5,-0.5000,0.0000
5,-0.1971,0.0000
5,-0.5000,-0.1596
5,-0.5000,0.1596
5,-0.8151,0.0000
5,-0.6248,0.0000
5,-0.5000,0.0000
5,-0.3752,0.0000
5,-0.1849,0.0000
5,-0.7523,0.0000
5,-0.5000,0.0000
5,-0.2477,0.0000
5,-0.5000,-0.2402
5,-0.5000,0.2402
5,-0.6000,0.0000
5,-0.5000,0.0000
5,-0.4000,0.0000
5,-0.5000,-0.2887
5,-0.5000,0.2887
5,-0.6000,0.0000
5,-0.5000,0.0000
5,-0.4000,0.0000
5,-0.5000,-0.1890
5,-0.5000,0.1890
5,-0.5000,0.0000
5,-0.6177,-0.1393
5,-0.6177,0.1393
5,-0.3823,-0.1393
5,-0.3823,0.1393
5,-0.7376,0.0000
5,-0.5000,0.0000
5,-0.2624,0.0000
5,-0.5000,-0.2887
5,-0.5000,0.2887
5,-0.7376,0.0000
5,-0.5000,0.0000
5,-0.2624,0.0000
5,-0.5000,-0.1890
5,-0.5000,0.1890
5,-0.7827,0.0000
5,-0.5000,0.0000
5,-0.2173,0.0000
5,-0.5000,-0.2557
5,-0.5000,0.2557
5,-0.7652,0.0000
5,-0.5000,0.0000
5,-0.2348,0.0000
5,-0.5000,-0.1925
5,-0.5000,0.1925
5,-0.8207,0.0000
5,-0.5910,0.0000
5,-0.5000,0.0000
5,-0.4090,0.0000
5,-0.1793,0.0000
5,-0.8350,0.0000
5,-0.5000,0.0000
5,-0.1650,0.0000
5,-0.5000,-0.1682
5,-0.5000,0.1682
5,-0.7857,0.0000
5,-0.6118,0.0000
5,-0.5000,0.0000
5,-0.3882,0.0000
5,-0.2143,0.0000
5,-0.7522,0.0000
5,-0.5000,0.0000
5,-0.2478,0.0000
5,-0.5000,-0.1812
5,-0.5000,0.1812
5,-0.8051,0.0000
5,-0.6273,0.0000
5,-0.5000,0.0000
5,-0.3727,0.0000
5,-0.1949,0.0000
5,-0.6956,0.0000
5,-0.5000,0.0000
5,-0.3044,0.0000
5,-0.5000,-0.2147
5,-0.5000,0.2147
5,-0.6000,0.0000
5,-0.5000,0.0000
5,-0.4000,0.0000
