g,real,imag
15,0.04754,0.80952
15,0.08821,-0.50439
15,0.08821,0.50439
16,-2.09357,-0.48288
16,-2.09357,0.48288
16,-2.06674,-0.77653
16,-2.06674,0.77653
16,-1.96211,-1.01469
16,-1.96211,1.01469
16,-1.81166,-1.20470
16,-1.81166,1.20470
16,-1.63116,-1.35004
16,-1.63116,1.35004
16,-1.43083,-1.45268
16,-1.43083,1.45268
16,-1.21832,-1.51382
16,-1.21832,1.51382
16,-1.00000,-1.53413
16,-1.00000,1.53413
16,-0.78168,-1.51382
16,-0.78168,1.51382
16,-0.56917,-1.45268
16,-0.56917,1.45268
16,-0.36884,-1.35004
16,-0.36884,1.35004
16,-0.18834,-1.20470
16,-0.18834,1.20470
16,-0.03789,-1.01469
16,-0.03789,1.01469
16,0.06674,-0.77653
16,0.06674,0.77653
16,0.09357,-0.48288
16,0.09357,0.48288
17,-2.09767,-0.46349
17,-2.09767,0.46349
17,-2.08242,-0.74612
17,-2.08242,0.74612
17,-1.99289,-0.97932
17,-1.99289,0.97932
17,-1.85862,-1.16951
17,-1.85862,1.16951
17,-1.69424,-1.31954
17,-1.69424,1.31954
17,-1.50923,-1.43098
17,-1.50923,1.43098
17,-1.31067,-1.50479
17,-1.31067,1.50479
17,-1.10439,-1.54155
17,-1.10439,1.54155
17,-0.89561,-1.54155
17,-0.89561,1.54155
17,-0.68933,-1.50479
17,-0.68933,1.50479
17,-0.49077,-1.43098
17,-0.49077,1.43098
17,-0.30576,-1.31954
17,-0.30576,1.31954
17,-0.14138,-1.16951
17,-0.14138,1.16951
17,-0.00711,-0.97932
17,-0.00711,0.97932
17,0.08242,-0.74612
17,0.08242,0.74612
17,0.09767,-0.46349
17,0.09767,0.46349
18,-2.10079,-0.44592
18,-2.10079,0.44592
18,-2.09529,-0.71808
18,-2.09529,0.71808
18,-2.01894,-0.94589
18,-2.01894,0.94589
18,-1.89913,-1.13512
18,-1.89913,1.13512
18,-1.74945,-1.28817
18,-1.74945,1.28817
18,-1.57867,-1.40627
18,-1.57867,1.40627
18,-1.39336,-1.49015
18,-1.39336,1.49015
18,-1.19890,-1.54030
18,-1.19890,1.54030
18,-1.00000,-1.55699
18,-1.00000,1.55699
18,-0.80110,-1.54030
18,-0.80110,1.54030
18,-0.60664,-1.49015
18,-0.60664,1.49015
18,-0.42133,-1.40627
18,-0.42133,1.40627
18,-0.25055,-1.28817
18,-0.25055,1.28817
18,-0.10087,-1.13512
18,-0.10087,1.13512
18,0.01894,-0.94589
18,0.01894,0.94589
18,0.09529,-0.71808
18,0.09529,0.71808
18,0.10079,-0.44592
18,0.10079,0.44592
19,-2.10589,-0.69220
19,-2.10589,0.69220
19,-2.10316,-0.42993
19,-2.10316,0.42993
19,-2.04105,-0.91438
19,-2.04105,0.91438
19,-1.93418,-1.10184
19,-1.93418,1.10184
19,-1.79787,-1.25660
19,-1.79787,1.25660
19,-1.64027,-1.37963
19,-1.64027,1.37963
19,-1.46747,-1.47150
19,-1.46747,1.47150
19,-1.28442,-1.53257
19,-1.28442,1.53257
19,-1.09545,-1.56304
19,-1.09545,1.56304
19,-0.90455,-1.56304
19,-0.90455,1.56304
19,-0.71558,-1.53257
19,-0.71558,1.53257
19,-0.53253,-1.47150
19,-0.53253,1.47150
19,-0.35973,-1.37963
19,-0.35973,1.37963
19,-0.20213,-1.25660
19,-0.20213,1.25660
19,-0.06582,-1.10184
19,-0.06582,1.10184
19,0.04105,-0.91438
19,0.04105,0.91438
19,0.10316,-0.42993
19,0.10316,0.42993
19,0.10589,-0.69220
19,0.10589,0.69220
20,-2.11464,-0.66828
20,-2.11464,0.66828
20,-2.10493,-0.41531
20,-2.10493,0.41531
20,-2.05991,-0.88476
20,-2.05991,0.88476
20,-1.96459,-1.06983
20,-1.96459,1.06983
20,-1.84044,-1.22528
20,-1.84044,1.22528
20,-1.69501,-1.35188
20,-1.69501,1.35188
20,-1.53395,-1.45003
20,-1.53395,1.45003
20,-1.36183,-1.51998
20,-1.36183,1.51998
20,-1.18264,-1.56188
20,-1.18264,1.56188
20,-1.00000,-1.57584
20,-1.00000,1.57584
20,-0.81736,-1.56188
20,-0.81736,1.56188
20,-0.63817,-1.51998
20,-0.63817,1.51998
20,-0.46605,-1.45003
20,-0.46605,1.45003
20,-0.30499,-1.35188
20,-0.30499,1.35188
20,-0.15956,-1.22528
20,-0.15956,1.22528
20,-0.03541,-1.06983
20,-0.03541,1.06983
20,0.05991,-0.88476
20,0.05991,0.88476
20,0.10493,-0.41531
20,0.10493,0.41531
20,0.11464,-0.66828
20,0.11464,0.66828
