i,real,imag
6,-0.1230,0.0000
6,-0.6723,-0.06770
6,-0.6723,0.06770
6,-0.3277,-0.06770
6,-0.3277,0.06770
6,-0.8933,0.0000
6,-0.6746,0.0000
6,-0.3254,0.0000
6,-0.1067,0.0000
6,-0.5000,-0.00000003843
6,-0.5000,0.00000003843
6,-0.8797,0.0000
6,-0.6345,0.0000
6,-0.3655,0.0000
6,-0.1203,0.0000
6,-0.5000,-0.3159
6,-0.5000,0.3159
6,-0.9052,0.0000
6,-0.6959,0.0000
6,-0.3041,0.0000
6,-0.09475,0.0000
6,-0.5000,-0.00000005059
6,-0.5000,0.00000005059
6,-0.8727,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1273,0.0000
6,-0.5000,-0.1968
6,-0.5000,0.1968
6,-0.8859,0.0000
6,-0.1141,0.0000
6,-0.6294,-0.08582
6,-0.6294,0.08582
6,-0.3706,-0.08582
6,-0.3706,0.08582
6,-0.9008,0.0000
6,-0.6722,0.0000
6,-0.6667,0.0000
6,-0.3333,0.0000
6,-0.3278,0.0000
6,-0.09916,0.0000
6,-0.9222,0.0000
6,-0.7638,0.0000
6,-0.2362,0.0000
6,-0.07775,0.0000
6,-0.5000,-0.1395
6,-0.5000,0.1395
6,-0.9029,0.0000
6,-0.7094,0.0000
6,-0.2906,0.0000
6,-0.09709,0.0000
6,-0.5000,-0.3685
6,-0.5000,0.3685
6,-0.9060,0.0000
6,-0.7321,0.0000
6,-0.2679,0.0000
6,-0.09398,0.0000
6,-0.5000,-0.1408
6,-0.5000,0.1408
6,-0.8950,0.0000
6,-0.7004,0.0000
6,-0.2996,0.0000
6,-0.1050,0.0000
6,-0.5000,-0.2642
6,-0.5000,0.2642
6,-0.9170,0.0000
6,-0.7757,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.2243,0.0000
6,-0.08302,0.0000
6,-0.8396,0.0000
6,-0.1604,0.0000
6,-0.5340,-0.1582
6,-0.5340,0.1582
6,-0.4660,-0.1582
6,-0.4660,0.1582
6,-0.8033,0.0000
6,-0.1967,0.0000
6,-0.6534,-0.1736
6,-0.6534,0.1736
6,-0.3466,-0.1736
6,-0.3466,0.1736
6,-0.8655,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1345,0.0000
6,-0.5000,-0.08967
6,-0.5000,0.08967
6,-0.8494,0.0000
6,-0.1506,0.0000
6,-0.5641,-0.1116
6,-0.5641,0.1116
6,-0.4359,-0.1116
6,-0.4359,0.1116
6,-0.8211,0.0000
6,-0.1789,0.0000
6,-0.6338,-0.1368
6,-0.6338,0.1368
6,-0.3662,-0.1368
6,-0.3662,0.1368
6,-0.8112,0.0000
6,-0.1888,0.0000
6,-0.6153,-0.1653
6,-0.6153,0.1653
6,-0.3847,-0.1653
6,-0.3847,0.1653
6,-0.8430,0.0000
6,-0.1570,0.0000
6,-0.6447,-0.09994
6,-0.6447,0.09994
6,-0.3553,-0.09994
6,-0.3553,0.09994
6,-0.8359,0.0000
6,-0.1641,0.0000
6,-0.6322,-0.09478
6,-0.6322,0.09478
6,-0.3678,-0.09478
6,-0.3678,0.09478
6,-0.8069,0.0000
6,-0.1931,0.0000
6,-0.5000,-0.2713
6,-0.5000,-0.09595
6,-0.5000,0.09595
6,-0.5000,0.2713
6,-0.8108,0.0000
6,-0.1892,0.0000
6,-0.6217,-0.1297
6,-0.6217,0.1297
6,-0.3783,-0.1297
6,-0.3783,0.1297
6,-0.8092,0.0000
6,-0.1908,0.0000
6,-0.6303,-0.1269
6,-0.6303,0.1269
6,-0.3697,-0.1269
6,-0.3697,0.1269
6,-0.7793,0.0000
6,-0.2207,0.0000
6,-0.6237,-0.1513
6,-0.6237,0.1513
6,-0.3763,-0.1513
6,-0.3763,0.1513
6,-0.8174,0.0000
6,-0.1826,0.0000
6,-0.6654,-0.08176
6,-0.6654,0.08176
6,-0.3346,-0.08176
6,-0.3346,0.08176
6,-0.8843,0.0000
6,-0.6577,0.0000
6,-0.3423,0.0000
6,-0.1157,0.0000
6,-0.5000,-0.00000006979
6,-0.5000,0.00000006979
6,-0.8565,0.0000
6,-0.6116,0.0000
6,-0.3884,0.0000
6,-0.1435,0.0000
6,-0.5000,-0.3040
6,-0.5000,0.3040
6,-0.8597,0.0000
6,-0.5609,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.4391,0.0000
6,-0.1403,0.0000
6,-0.8394,0.0000
6,-0.1606,0.0000
6,-0.6018,-0.09189
6,-0.6018,0.09189
6,-0.3982,-0.09189
6,-0.3982,0.09189
6,-0.8642,0.0000
6,-0.6667,0.0000
6,-0.6533,0.0000
6,-0.3467,0.0000
6,-0.3333,0.0000
6,-0.1358,0.0000
6,-0.8815,0.0000
6,-0.7885,0.0000
6,-0.2115,0.0000
6,-0.1185,0.0000
6,-0.5000,-0.1598
6,-0.5000,0.1598
6,-0.8719,0.0000
6,-0.8015,0.0000
6,-0.1985,0.0000
6,-0.1281,0.0000
6,-0.5000,-0.1569
6,-0.5000,0.1569
6,-0.8669,0.0000
6,-0.8585,0.0000
6,-0.5000,0.0000
6,-0.5000,0.0000
6,-0.1415,0.0000
6,-0.1331,0.0000
6,-0.9170,0.0000
6,-0.7499,0.0000
6,-0.2501,0.0000
6,-0.08297,0.0000
6,-0.5000,-0.1223
6,-0.5000,0.1223
6,-0.8818,0.0000
6,-0.6920,0.0000
6,-0.3080,0.0000
6,-0.1182,0.0000
6,-0.5000,-0.3712
6,-0.5000,0.3712
6,-0.8795,0.0000
6,-0.7277,0.0000
6,-0.2723,0.0000
6,-0.1205,0.0000
6,-0.5000,-0.1854
6,-0.5000,0.1854
6,-0.8584,0.0000
6,-0.7443,0.0000
6,-0.2557,0.0000
6,-0.1416,0.0000
6,-0.5000,-0.1500
6,-0.5000,0.1500
6,-0.8753,0.0000
6,-0.7873,0.0000
6,-0.2127,0.0000
6,-0.1247,0.0000
6,-0.5000,-0.00000003737
6,-0.5000,0.00000003737
6,-0.9160,0.0000
6,-0.7334,0.0000
6,-0.2666,0.0000
6,-0.08396,0.0000
6,-0.5000,-0.00000001882
6,-0.5000,0.00000001882
6,-0.8808,0.0000
6,-0.6531,0.0000
6,-0.3469,0.0000
6,-0.1192,0.0000
6,-0.5000,-0.3279
6,-0.5000,0.3279
6,-0.9096,0.0000
6,-0.7073,0.0000
6,-0.2927,0.0000
6,-0.09044,0.0000
6,-0.5000,-0.1156
6,-0.5000,0.1156
6,-0.8738,0.0000
6,-0.6503,0.0000
